nID,RT1,RT2,Name,CAS-RN,SMILES,E,S,A,B,V,L,Literature
1,5.701,0.963,Pyridine,110-86-1,c1cccnc1,0.63,0.84,0,0.52,0.675,3.022,Abraham Absolv
2,NA,NA,N-Nitrosodimethylamine,62-75-9,O=NN(C)C,0.39,1.19,0,0.56,0.606,2.763,Abraham Absolv
3,7.339,1.555,Aniline,62-53-3,Nc1ccccc1,0.96,0.96,0.26,0.41,0.816,3.934,Abraham Absolv
4,NA,NA,Phenol,108-95-2,Oc1ccccc1,0.81,0.89,0.6,0.3,0.775,3.766,Abraham Absolv
5,NA,NA,Bis(2-chloroethyl) ether,111-44-4,ClCCOCCCl,0.42,0.93,0,0.51,0.976,3.89,Abraham Absolv
6,7.672,0.963,2-Chlorophenol,95-57-8,Oc1ccccc1Cl,0.85,0.88,0.32,0.31,0.898,4.178,Abraham Absolv
7,8.006,1.333,"1,3-Dichlorobenzene",541-73-1,Clc1cccc(c1)Cl,0.85,0.73,0,0.02,0.961,4.41,Abraham Absolv
8,8.006,1.259,"1,4-Dichlorobenzene",106-46-7,Clc1ccc(cc1)Cl,0.83,0.75,0,0.02,0.961,4.435,Abraham Absolv
9,8.339,1.629,"1,2-Dichlorobenzene",95-50-1,Clc1ccccc1Cl,0.87,0.78,0,0.04,0.961,4.518,Abraham Absolv
10,8.339,1.999,Benzyl alcohol,100-51-6,OCc1ccccc1,0.8,0.87,0.39,0.56,0.916,4.221,Abraham Absolv
11,8.672,1.037,Bis(2-chloroisopropyl)ether,108-60-1,ClCC(OC(CCl)C)C,0.3,0.8,0,0.66,1.258,4.519,Abraham Absolv
12,8.672,1.407,o-Cresol,95-48-7,Cc1ccccc1O,0.84,0.86,0.52,0.3,0.916,4.218,Abraham Absolv
13,9.035,1.851,Hexachloroethane,67-72-1,ClC(C(Cl)(Cl)Cl)(Cl)Cl,0.68,0.68,0,0,1.125,4.573,Abraham Absolv
14,9.006,1.925,N-Nitrosodipropylamine,621-64-7,CCCN(N=O)CCC,0.32,1.01,0,0.63,1.169,4.685,Abraham Absolv
15,8.672,1.777,p-Cresol,106-44-5,Cc1ccc(cc1)O,0.82,0.87,0.57,0.31,0.916,4.312,Abraham Absolv
16,8.672,1.407,m-Cresol,108-39-4,Cc1cccc(c1)O,0.82,0.88,0.57,0.34,0.916,4.31,Abraham Absolv
17,9.006,2.666,Nitrobenzene,98-95-3,O=N(=O)c1ccccc1,0.87,1.11,0,0.28,0.891,4.557,Abraham Absolv
18,10.006,1.925,isophorone,78-59-1,CC1=CC(=O)CC(C1)(C)C,0.51,0.89,0,0.56,1.241,4.813,Abraham Absolv
19,10.006,2.814,2-Nitrophenol,88-75-5,c1ccc(c(c1)[N+](=O)[O-])O,1.02,1.05,0.05,0.37,0.949,4.76,Abraham Absolv
20,10.672,2.296,"2,4-Dimethylphenol",105-67-9,Cc1ccc(c(c1)C)O,0.84,0.79,0.52,0.4,1.057,4.77,Abraham Absolv
