chemID,Name,CAS-RN,logKo_a,logKblood_a,logKfat_a,logKmussle_a,logKo_w,logKoc_w,logBCF,logKa_w,logSwL,logKw_cellper,logKw_skinper,logKw_serum
1,Pyridine,110-86-1,,2.313,3.037,2.308,,,,,,-3.118,-5.527,-0.777
2,N-Nitrosodimethylamine,62-75-9,,2.551,2.81,2.271,,,,,,-3.533,-6.108,-1.416
3,Aniline,62-53-3,,4.029,4.542,4.007,,,,,,-4.013,-5.553,-0.447
4,Phenol,108-95-2,,4.526,4.567,4.538,,,,,,-4.669,-5.561,-0.387
5,Bis(2-chloroethyl) ether,111-44-4,,1.552,3.223,1.852,,,,,,-2.475,-4.259,-0.185
6,"Phenol, 2-chloro-",95-57-8,,3.844,4.827,4.112,2.15,,,-3.34,,-3.844,-4.908,0.029
7,"Benzene, 1,3-dichloro-",541-73-1,4.12,1.67,3.878,2.023,3.47,2.47,3.9,-0.89,-0.08,-2.344,-3.854,0.557
8,"Benzene, 1,4-dichloro-",106-46-7,4.46,1.895,3.915,2.196,3.45,2.66,3.78,-1.02,,-2.462,-4.026,0.469
9,"Benzene, 1,2-dichloro-",95-50-1,4.36,1.925,4.805,2.293,3.4,2.59,3.76,-1.14,-0.05,-2.436,-4.009,0.455
10,Benzyl alcohol,100-51-6,,4.452,4.67,4.577,,,,,,-4.15,-5.542,-0.431
11,Bis(2-chloroisopropyl)ether,108-60-1,,2.024,3.897,2.473,,,,,,-2.352,-3.784,0.176
12,"Phenol, 2-methyl-",95-48-7,,4.669,4.947,4.815,1.95,,,-4.31,,-4.523,5.217,-0.116
13,Hexachloroethane,67-72-1,4.47,2.09,4.204,2.557,3.93,,,-1.01,,-2.304,-3.735,0.685
14,N-Nitrosodipropylamine,621-64-7,,3.319,4.596,3.447,,,,,,-3.155,-4.853,-0.53
15,"Phenol, 4-methyl-",106-44-5,,4.669,4.947,4.815,1.94,,,-4.39,,-4.523,-5.217,-0.116
16,m-Cresol,108-39-4,,4.669,4.947,4.815,,,,,,-4.523,-5.217,-0.116
17,"Benzene, nitro-",98-95-3,,2.71,4.501,2.763,1.85,,,-3.01,,-3.026,-4.695,-0.024
18,"2-Cyclohexen-1-one, 3,5,5-trimethyl- (Isophorone)",78-59-1,,2.991,4.499,3.368,1.7,,,-3.57,,-2.736,-4.344,0.013
