"","prop.lower","prop.me.list.all","prop.upper","RT1.memo.list","RT2.memo.list"
"logKo_a",5.698,5.889,6.083,21.35,4.08
"logKblood_a",2.933,3.103,3.272,21.35,4.08
"logKfat_a",5.582,5.748,5.914,21.35,4.08
"logKmussle_a",3.605,3.736,3.869,21.35,4.08
"logKo_w",4.215,4.652,5.106,21.35,4.08
"logKoc_w",3.624,3.972,4.315,21.35,4.08
"logBCF",4.565,4.916,5.264,21.35,4.08
"logKa_w",-1.677,-1.155,-0.63,21.35,4.08
"logSwL",-2.206,-1.696,-1.203,21.35,4.08
"logKw_cellper",-2.483,-2.326,-2.168,21.35,4.08
"logKw_skinper",-3.689,-3.362,-3.038,21.35,4.08
"logKw_serum",1.196,1.297,1.397,21.35,4.08
