Property,c,e,v,l,s,a,b,ab,r2,RMSE,n
logKo_a,-0.38,,0.35,0.8,1.01,1.76,0.01,,0.97,0.16,84
logKblood_a,-1.269,0.612,,0.362,0.916,3.614,3.381,,0.9884,,82
logKfat_a,-0.294,-0.172,,0.895,0.729,1.747,0.219,,0.994,,36
logKmussle_a,-1.14,0.544,,0.578,0.216,3.471,2.924,,0.9827,,41
logKo_w,0.088,0.562,3.814,,-1.05,0.034,-3.46,,0.995,0.12,613
logKoc_w,-0.42,0.53,3.25,,-0.48,-0.28,-2.46,,0.967,0.27,117
logBCF,0.45,0.92,3.37,,-0.99,0.23,-3.63,,0.956,0.33,182
logKa_w,0.99,-0.58,0.87,,-2.55,-3.81,-4.84,,0.998,0.15,408
logSwL,3.6,-0.58,-4.34,,0.78,3.56,4.62,-5.94,0.988,0.2,127
logKw_cellper,-2.235,,0.731,,-0.867,-3.143,-1.664,,0.9306,,100
logKw_skinper,-5.426,-0.106,2.296,,-0.473,-0.473,-3,,0.9121,,119
logKw_serum,-1.28,0.82,1.62,,-0.36,0.18,-1.97,,0.91,,52
